"name","latitude","longitude","elevation","type","gelaufen"
Bogenberg,48.9020427,12.6969849,432,old,30.06.2020
Großer Arber,49.1124718,13.1361900,1456,old,07.07.2020
Schopf,48.9547041,12.8429102,928,old,14.07.2020
Hirschenstein,48.9643769,12.8800093,1095,old,14.07.2020
Klausenstein,48.9503368,12.8961756,1048,old,14.07.2020
Rauher Kulm,48.9485091,12.8988447,1050,old,14.07.2020
Dreitannenriegel,48.897,13.022,1092,old,13.09.2020
Geißkopf,48.9240769,13.0374226,1097,old,13.09.2020
Breitenauriegel,48.9065480,13.0300211,1114,old,13.09.2020
Buchaberg,48.9578661,12.7586805,593,old,11.06.2022
Garbuckel,48.9235396,12.6035176,323,old,02.06.2023
Urberberg,48.9791330,12.7852738,614,old,11.06.2023
Teufelsfelsen,48.9691622,12.6820345,410,old,13.08.2023
Kirnhöhe,48.9800149,12.7122376,468,old,13.08.2023
Schwarzer Dachsberg,48.9873931,12.7032577,481,old,13.08.2023
Riedberg,48.9442217,12.9019779,999,old,24.09.2023
Burgstein,48.9337549,12.9053977,830,old,24.09.2023
