@id	name	ele	@lat	@lon
26863050	Großer Arber	1456	49.1124718	13.1361900
61270684	Scheuchenberg	540	49.0264545	12.2560197
95964264	Dreisessel	1323	48.7806790	13.8031771
95964265	Hochstein	1333	48.7847492	13.8027768
96405646	Großer Rachel	1453	48.9785352	13.3889715
96428401	Großer Riedelstein	1132	49.1659000	12.9729999
96428403	Großer Osser	1293	49.2031833	13.1097845
96428405	Kleiner Arber	1384	49.1133011	13.1100722
173849656	Rauchröhren	1042	49.1702239	12.9604782
173849666	Mittagstein	1034	49.1732347	12.9422827
173853050	Kreuzfelsen	999	49.1764528	12.9227995
173866922	Kleiner Falkenstein	1190	49.0885068	13.2732424
265094431	Kleiner Osser	1266	49.2017348	13.1032394
270091856	Eidenberger Lusen	733	48.5727904	13.7841343
270091875	Ponzaun	767	48.6015300	13.7788112
270091916	Höpfelberg	727	48.7081245	13.7903125
281997902	Silberberg	955	49.0571546	13.1243106
290221610	Bärenriegel	1017	49.2401279	12.9264333
290221611	Burgstall	976	49.2494248	12.8908193
290221627	Eckstein	1073	49.2372852	12.9329665
295661960	Hirschenstein	1095	48.9643769	12.8800093
295667592	Predigtstuhl	1024	49.0023398	12.8488065
295668282	Pröller	1048	49.0219662	12.8211454
297562061	Schopf	928	48.9547041	12.8429102
305665620	Haidel	1166	48.8185711	13.6782443
309432989	Knogl	1056	48.9959040	12.8571683
323838844	Dreitannenriegel	1092	48.8972514	13.0221150
323839344	Einödriegel	1121	48.9281616	13.0277588
323839655	Geißkopf	1097	48.9240769	13.0374226
323850384	Breitenauriegel	1114	48.9065480	13.0300211
347056141	Hohenstein		49.1949659	12.1852712
356304449	Sallerner Berg	390	49.0420460	12.1074857
403303195	Enzian	1287	49.1237073	13.0830635
403307514	Heugstatt	1262	49.1292361	13.0682204
403315504	Mühlriegel	1079	49.1569817	13.0149053
410947529	Lusen	1373	48.9391964	13.5067775
414734287	Rauher Kulm	1050	48.9485091	12.8988447
416427242	Dreikögelriegel	858	48.9694705	13.2555143
416634867	Kirchberg		48.9036275	13.1818276
416644868	Hennenkobel	965	49.0450716	13.1815386
416678030	Kronberg	983	49.0369388	13.1053062
417100704	Almberg	1139	48.8891850	13.6431786
427281914	Jugenberg	610	49.1856668	12.2178899
428608605	Ruhmannsberg	862	48.6474966	13.6858196
428608606	Staffelberg	793	48.6510959	13.6513777
435237776	Wagensonnriegel	959	48.9504287	13.2790963
436158256	Harlachberger Spitze	914	49.0494155	13.0806915
437029767	Hängender Riegel	1080	49.1464908	13.0573865
445764708	Waldhäuserriegel	1151	48.9246800	13.4845986
445970161	Kleiner Spitzberg	1233	48.9510092	13.4797727
459569430	Kleiner Büchelstein		48.8104826	13.1642459
459569899	Brotjacklriegel	1010	48.8170156	13.2167342
459569909	Büchelstein	832	48.8082788	13.1754956
467457622	Hoher Stein	584	49.1207787	12.2164079
469869745	Steinfleckberg	1342	48.9530022	13.5226830
535979310	Kühberg	870	48.9763298	13.2292152
538378363	Eschenberg	1043	48.9342375	13.2792772
564965776	Hessenstein	878	48.9146856	13.3040868
576571442	Plattenhausenriegel	1376	48.9639997	13.4502885
576647349	Jägerhübel	1100	49.2166689	13.1138594
576647358	Helmwald	1102	49.2269640	13.0891868
577336417	V koutě	1276	48.9727165	13.4258767
591818020	Dattinger Berg	886	48.8749128	13.1103491
591935258	Knogelberg	705	49.0607078	12.9799272
591937869	Schloßberg	673	49.0614251	12.9639370
605418981	Grosse Kanzel	1002	48.8884396	13.5400865
605457854	Ochsenriegel		48.8938149	13.5116318
605503339	Kleine Kanzel	1011	48.8873002	13.5310852
606492368	Kohlbichel	749	48.9518062	13.2528126
662571491	Peilstein		49.2128257	12.1743103
662571497	Franzenshöhe		49.2127047	12.1760040
671758541	Plattenhöhe	690	48.9506596	13.1758079
775651325	Ahornriegel	1050	49.2348824	12.9440756
814886691	Sicklinger Berg	628	48.7353965	13.5794471
814886693	Oberfrauenwald	945	48.6850001	13.6580499
814886698	Habergrasberg	1235	48.7850000	13.7885900
814886704	Neufanger Berg	755	48.7491700	13.6530500
814886713	Saußberg	793	48.7047900	13.6059200
841768928	Gsengetstein	951	48.9318145	13.2580614
846163246	Bogenberg	432	48.9020427	12.6969849
873636642	Schwarzeck	1235	49.1465603	13.0645594
906245584	Streitberg	594	49.1375950	12.9677913
972202151	Friedrichsberg	930	48.6545958	13.7963569
987564984	Geißriegel	1043	48.9033901	13.0081744
1068936853	Mühlberg	408	49.0548181	12.1126898
1149812832	Hochzellberg	1208	49.0776795	13.1332083
1161322926	Strohmannhanselhöhe	869	49.0459941	13.0935857
1177290609	Helfenstein		49.1495982	12.4085625
1232877091	Großer Pfaffenstein	515	49.1685707	12.3603203
1270510248	Beerenkopf		49.0074465	13.4027836
1272507425	Vogelsang	1022	48.9344318	12.9435935
1278984529	Hohlstein	1196	48.9150996	13.5301565
1313209783	Berliner Kreuz		49.0190825	13.0335409
1320118701	Zeitlberg	410	49.0692697	12.1109635
1329432528	Tiessenberg	745	48.6619491	13.6140230
1350030716	Fahnenriegel	1199	49.0521408	13.3372696
1350032421	Scheuereckberg	1193	49.0673998	13.3311385
1350051064	Sulzriegel	782	49.0694772	13.2391857
1355321835	Trossel		48.9194173	13.3642355
1378735198	Teufelstisch	901	48.9326754	13.0646430
1399515171	Butzen	775	48.9061670	12.9476403
1404351251	Kühberg	835	48.9215624	12.9990247
1404352472	Hummelsberg		48.9224929	12.9876950
1404355088	Buchenhöhe	723	48.8929932	12.9925943
1404357596	Anhangberg	984	48.9036526	13.0453947
1404363111	Hermannschopf	824	48.9197435	13.0630651
1404364857	Stadelberg	891	48.9336584	13.0888894
1404364860	Finkenrieder Berg	663	48.9416362	13.0875161
1407391644	Hocheck	727	48.9371703	12.9870433
1407404108	Buchberg	687	48.9719171	13.0166549
1407404121	Rosenberg	871	48.9576042	13.0334777
1407404123	Bornstein	818	48.9526445	13.0456657
1407431204	Hochriedriegel	934	48.9450348	12.9419822
1407465707	Fuchsberg	684	48.9081538	12.9539771
1407484391	Klausenstein	1048	48.9503368	12.8961756
1407494789	Knogler Berg	721	48.9316446	12.8546924
1416318813	Kälberbuckel	1053	48.9756706	12.8878642
1417936137	Büscherl	740	49.0267300	12.5536376
1417936143	Hohenried	679	49.0345779	12.5811028
1420723116	Gallner Berg	709	49.0485375	12.6775127
1470641948	Hanichelriegel	978	49.0386264	12.8126073
1470641950	Käsplatte	978	49.0381908	12.8071797
1482153892	Stierberg	734	49.0125570	13.3186479
1482161211	Ochsenberg	664	49.0034363	13.3044000
1486378033	Weißer Felsen		49.1696152	12.7892431
1486404877	Hirschpertberg		49.1345922	12.8143488
1491248965	Hochberg	1025	49.0004257	12.8556089
1498943476	Hinterberg	666.1	48.8891166	12.9462408
1498943480	Kühberg	650.9	48.8934060	12.9465999
1498943483	Rabenstein	614.1	48.8850233	12.9445751
1512928578	Kleiner Aschenstein	913	48.8133171	13.2585880
1512928601	Geißlstein	906	48.8139896	13.2648902
1512928602	Aschenstein	942	48.8176285	13.2570665
1579621442	Hocheiche	463	48.8551274	12.9744356
1584111668	Bubikberg	572	48.7709039	13.4262550
1584111670	Lindberg	638	48.7896681	13.4345317
1585617175	Redelberg		48.8722330	13.3543789
1585642759	Scheiben		48.8465001	13.3274501
1602541842	Steinbichel	703	48.8733143	13.3335050
